firstname,lastname,organization,photo
Yiran,Chen,Duke University,assets/faculty/YiranChen_DukeUniversity.jpg
James,Goppert,Purdue University,assets/faculty/JamesGoppert_PurdueUniversity.jpg
Yung-hsiang,Lu,Purdue University,assets/faculty/Yung-hsiangLu_PurdueUniversity.jpg
John,Mott,Purdue University,assets/faculty/JohnMott_PurdueUniversity.jpg
Shaoshuai,Mou,Purdue University,assets/faculty/ShaoshuaiMou_PurdueUniversity.jpg
Qiang,Qiu,Purdue University,assets/faculty/QiangQiu_PurdueUniversity.jpg
Shreyas,Sundaram,Purdue University,assets/faculty/ShreyasSundaram_PurdueUniversity.jpg
Wei,Zakharov,Purdue University,assets/faculty/WeiZakharov_PurdueUniversity.jpg
Kate,Saenko,Boston University,assets/faculty/KateSaenko_BostonUniversity.jpg
Grauman,Kristen,The University of Texas at Austin,assets/faculty/GraumanKristen_TheUniversityofTexasatAustin.jpg
Ziad,Al-Halah,The University of Texas at Austin,assets/faculty/ZiadAl-Halah_UTAustin.jpeg
